accession	organism	kingdom	length	cleavage_site
O14763	Homo sapiens (Human)	Metazoa	440	55
O14773	Homo sapiens (Human)	Metazoa	563	19
O14786	Homo sapiens (Human)	Metazoa	923	21
O14791	Homo sapiens (Human)	Metazoa	398	27
O14798	Homo sapiens (Human)	Metazoa	259	25
O15197	Homo sapiens (Human)	Metazoa	1021	31
O15455	Homo sapiens (Human)	Metazoa	904	23
O15467	Homo sapiens (Human)	Metazoa	120	23
O18330	Apis mellifera (Honeybee)	Metazoa	432	19
O18998	Oryctolagus cuniculus (Rabbit)	Metazoa	281	21
O35310	Mus musculus (Mouse)	Metazoa	311	20
O35314	Rattus norvegicus (Rat)	Metazoa	675	20
O35701	Mus musculus (Mouse)	Metazoa	481	27
O35744	Mus musculus (Mouse)	Metazoa	398	21
O42414	Gallus gallus (Chicken)	Metazoa	1369	25
O42446	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	Metazoa	284	26
O42807	Aspergillus niger	Fungi	281	21
O43155	Homo sapiens (Human)	Metazoa	660	35
O43278	Homo sapiens (Human)	Metazoa	529	35
O43291	Homo sapiens (Human)	Metazoa	252	27
O43827	Homo sapiens (Human)	Metazoa	346	26
O43852	Homo sapiens (Human)	Metazoa	315	19
O43866	Homo sapiens (Human)	Metazoa	347	19
O46432	Felis catus (Cat) (Felis silvestris catus)	Metazoa	1007	50
O54766	Rattus norvegicus (Rat)	Metazoa	617	20
O54767	Rattus norvegicus (Rat)	Metazoa	695	24
O54861	Rattus norvegicus (Rat)	Metazoa	825	31
O55038	Mus musculus (Mouse)	Metazoa	109	21
O55232	Rattus norvegicus (Rat)	Metazoa	130	32
O55245	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	Metazoa	150	20
O57385	Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	Metazoa	138	16
O60449	Homo sapiens (Human)	Metazoa	1722	27
O60565	Homo sapiens (Human)	Metazoa	184	24
O60602	Homo sapiens (Human)	Metazoa	858	20
O60609	Homo sapiens (Human)	Metazoa	400	31
O60844	Homo sapiens (Human)	Metazoa	167	16
O60931	Homo sapiens (Human)	Metazoa	367	22
O61668	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	88	18
O61705	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	84	19
O62680	Sus scrofa (Pig)	Metazoa	123	25
O64392	Triticum aestivum (Wheat)	Plants	146	21
O64411	Zea mays (Maize)	Plants	500	28
O70165	Mus musculus (Mouse)	Metazoa	334	17
O75462	Homo sapiens (Human)	Metazoa	422	37
O75556	Homo sapiens (Human)	Metazoa	95	18
O75629	Homo sapiens (Human)	Metazoa	220	31
O75636	Homo sapiens (Human)	Metazoa	299	23
O76076	Homo sapiens (Human)	Metazoa	250	23
O76818	Agrotis ipsilon (Black cutworm moth)	Metazoa	193	19
O77801	Bos taurus (Bovine)	Metazoa	132	21
O80323	Pyrus pyrifolia (Chinese pear) (Pyrus serotina)	Plants	222	22
O88188	Mus musculus (Mouse)	Metazoa	162	19
O88917	Rattus norvegicus (Rat)	Metazoa	1515	24
O89093	Mus musculus (Mouse)	Metazoa	97	27
O93364	Crotalus adamanteus (Eastern diamondback rattlesnake)	Metazoa	516	18
O94907	Homo sapiens (Human)	Metazoa	266	31
O94985	Homo sapiens (Human)	Metazoa	981	28
O95407	Homo sapiens (Human)	Metazoa	300	29
O95633	Homo sapiens (Human)	Metazoa	263	26
O95711	Homo sapiens (Human)	Metazoa	162	20
O95715	Homo sapiens (Human)	Metazoa	111	34
O95750	Homo sapiens (Human)	Metazoa	216	24
O95813	Homo sapiens (Human)	Metazoa	267	17
O95866	Homo sapiens (Human)	Metazoa	241	17
O95881	Homo sapiens (Human)	Metazoa	172	26
O95967	Homo sapiens (Human)	Metazoa	443	23
O95968	Homo sapiens (Human)	Metazoa	90	21
O95994	Homo sapiens (Human)	Metazoa	175	20
O95998	Homo sapiens (Human)	Metazoa	194	30
O97763	Sus scrofa (Pig)	Metazoa	149	19
O97939	Sus scrofa (Pig)	Metazoa	1142	38
P00433	Armoracia rusticana (Horseradish) (Armoracia laphatifolia)	Plants	353	30
P00450	Homo sapiens (Human)	Metazoa	1065	19
P00533	Homo sapiens (Human)	Metazoa	1210	24
P00592	Sus scrofa (Pig)	Metazoa	146	15
P00593	Bos taurus (Bovine)	Metazoa	145	15
P00615	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	Metazoa	145	27
P00616	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	Metazoa	152	19
P00624	Crotalus atrox (Western diamondback rattlesnake)	Metazoa	138	16
P00625	Ovophis okinavensis (Ryukyu Island pit viper) (Trimeresurus okinavensis)	Metazoa	139	16
P00626	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	138	16
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	467	17
P00639	Bos taurus (Bovine)	Metazoa	282	22
P00655	Aspergillus giganteus	Fungi	177	27
P00669	Bos taurus (Bovine)	Metazoa	150	26
P00684	Rattus norvegicus (Rat)	Metazoa	152	25
P00687	Mus musculus (Mouse)	Metazoa	511	15
P00688	Mus musculus (Mouse)	Metazoa	508	15
P00690	Sus scrofa (Pig)	Metazoa	511	15
P00697	Rattus norvegicus (Rat)	Metazoa	148	18
P00698	Gallus gallus (Chicken)	Metazoa	147	18
P00701	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)	Metazoa	147	18
P00702	Phasianus colchicus colchicus (Black-necked pheasant)	Metazoa	147	17
P00703	Meleagris gallopavo (Wild turkey)	Metazoa	147	18
P00709	Homo sapiens (Human)	Metazoa	142	19
P00711	Bos taurus (Bovine)	Metazoa	142	19
P00712	Capra hircus (Goat)	Metazoa	142	19
P00713	Cavia porcellus (Guinea pig)	Metazoa	142	19
P00714	Rattus norvegicus (Rat)	Metazoa	159	19
P00716	Oryctolagus cuniculus (Rabbit)	Metazoa	141	19
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	532	19
P00730	Bos taurus (Bovine)	Metazoa	419	16
P00736	Homo sapiens (Human)	Metazoa	705	17
P00738	Homo sapiens (Human)	Metazoa	406	18
P00747	Homo sapiens (Human)	Metazoa	810	19
P00748	Homo sapiens (Human)	Metazoa	615	19
P00749	Homo sapiens (Human)	Metazoa	431	20
P00750	Homo sapiens (Human)	Metazoa	562	22
P00751	Homo sapiens (Human)	Metazoa	764	25
P00757	Mus musculus (Mouse)	Metazoa	256	17
P00760	Bos taurus (Bovine)	Metazoa	246	17
P00772	Sus scrofa (Pig)	Metazoa	266	16
P00773	Rattus norvegicus (Rat)	Metazoa	266	16
P00791	Sus scrofa (Pig)	Metazoa	385	15
P00794	Bos taurus (Bovine)	Metazoa	381	16
P00797	Homo sapiens (Human)	Metazoa	406	23
P00995	Homo sapiens (Human)	Metazoa	79	23
P01001	Bos taurus (Bovine)	Metazoa	80	23
P01005	Gallus gallus (Chicken)	Metazoa	210	24
P01008	Homo sapiens (Human)	Metazoa	464	32
P01009	Homo sapiens (Human)	Metazoa	418	24
P01011	Homo sapiens (Human)	Metazoa	423	23
P01015	Rattus norvegicus (Rat)	Metazoa	477	24
P01019	Homo sapiens (Human)	Metazoa	476	24
P01023	Homo sapiens (Human)	Metazoa	1474	23
P01024	Homo sapiens (Human)	Metazoa	1663	22
P01027	Mus musculus (Mouse)	Metazoa	1663	24
P01033	Homo sapiens (Human)	Metazoa	207	23
P01034	Homo sapiens (Human)	Metazoa	146	26
P01036	Homo sapiens (Human)	Metazoa	141	20
P01037	Homo sapiens (Human)	Metazoa	141	20
P01042	Homo sapiens (Human)	Metazoa	644	18
P01045	Bos taurus (Bovine)	Metazoa	619	18
P01048	Rattus norvegicus (Rat)	Metazoa	430	18
P01083	Triticum aestivum (Wheat)	Plants	153	30
P01131	Bos taurus (Bovine)	Metazoa	845	21
P01137	Homo sapiens (Human)	Metazoa	390	29
P01139	Mus musculus (Mouse)	Metazoa	241	18
P01148	Homo sapiens (Human)	Metazoa	92	23
P01161	Rattus norvegicus (Rat)	Metazoa	152	24
P01165	Sus scrofa (Pig)	Metazoa	207	22
P01168	Sus scrofa (Pig)	Metazoa	116	24
P01175	Bos taurus (Bovine)	Metazoa	125	19
P01177	Sus scrofa (Pig)	Metazoa	125	19
P01178	Homo sapiens (Human)	Metazoa	125	19
P01179	Rattus norvegicus (Rat)	Metazoa	125	19
P01180	Bos taurus (Bovine)	Metazoa	166	19
P01183	Sus scrofa (Pig)	Metazoa	166	19
P01185	Homo sapiens (Human)	Metazoa	164	19
P01186	Rattus norvegicus (Rat)	Metazoa	168	23
P01189	Homo sapiens (Human)	Metazoa	267	26
P01215	Homo sapiens (Human)	Metazoa	116	24
P01218	Ovis aries (Sheep)	Metazoa	120	24
P01222	Homo sapiens (Human)	Metazoa	138	20
P01225	Homo sapiens (Human)	Metazoa	129	18
P01229	Homo sapiens (Human)	Metazoa	141	20
P01231	Ovis aries (Sheep)	Metazoa	141	20
P01235	Cyprinus carpio (Common carp)	Metazoa	144	27
P01236	Homo sapiens (Human)	Metazoa	227	28
P01237	Rattus norvegicus (Rat)	Metazoa	226	29
P01238	Sus scrofa (Pig)	Metazoa	229	30
P01239	Bos taurus (Bovine)	Metazoa	229	30
P01240	Ovis aries (Sheep)	Metazoa	229	30
P01241	Homo sapiens (Human)	Metazoa	217	26
P01242	Homo sapiens (Human)	Metazoa	217	26
P01246	Bos taurus (Bovine)	Metazoa	217	26
P01268	Bos taurus (Bovine)	Metazoa	115	25
P01270	Homo sapiens (Human)	Metazoa	115	25
P01274	Sus scrofa (Pig)	Metazoa	180	20
P01297	Sus scrofa (Pig)	Metazoa	121	24
P01303	Homo sapiens (Human)	Metazoa	97	28
P01308	Homo sapiens (Human)	Metazoa	110	24
P01315	Sus scrofa (Pig)	Metazoa	108	24
P01317	Bos taurus (Bovine)	Metazoa	105	24
P01321	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	110	24
P01322	Rattus norvegicus (Rat)	Metazoa	110	24
P01323	Rattus norvegicus (Rat)	Metazoa	110	24
P01325	Mus musculus (Mouse)	Metazoa	108	24
P01326	Mus musculus (Mouse)	Metazoa	110	24
P01329	Cavia porcellus (Guinea pig)	Metazoa	110	24
P01344	Homo sapiens (Human)	Metazoa	180	24
P01346	Rattus norvegicus (Rat)	Metazoa	180	24
P01347	Rattus norvegicus (Rat)	Metazoa	186	22
P01348	Sus scrofa (Pig)	Metazoa	182	24
P01350	Homo sapiens (Human)	Metazoa	101	21
P01398	Bungarus multicinctus (Many-banded krait)	Metazoa	87	21
P01484	Androctonus australis (Sahara scorpion)	Metazoa	85	19
P01492	Centruroides sculpturatus (Arizona bark scorpion)	Metazoa	87	19
P01500	Apis mellifera (Honeybee)	Metazoa	46	27
P01563	Homo sapiens (Human)	Metazoa	188	23
P01568	Homo sapiens (Human)	Metazoa	189	23
P01570	Homo sapiens (Human)	Metazoa	189	23
P01572	Mus musculus (Mouse)	Metazoa	189	23
P01579	Homo sapiens (Human)	Metazoa	166	23
P01588	Homo sapiens (Human)	Metazoa	193	27
P01591	Homo sapiens (Human)	Metazoa	159	22
P01593	Homo sapiens (Human)	Metazoa	117	22
P01594	Homo sapiens (Human)	Metazoa	117	22
P01597	Homo sapiens (Human)	Metazoa	117	22
P01602	Homo sapiens (Human)	Metazoa	117	22
P01615	Homo sapiens (Human)	Metazoa	120	19
P01619	Homo sapiens (Human)	Metazoa	116	20
P01699	Homo sapiens (Human)	Metazoa	117	19
P01700	Homo sapiens (Human)	Metazoa	117	19
P01701	Homo sapiens (Human)	Metazoa	117	19
P01704	Homo sapiens (Human)	Metazoa	120	19
P01705	Homo sapiens (Human)	Metazoa	113	19
P01706	Homo sapiens (Human)	Metazoa	119	19
P01709	Homo sapiens (Human)	Metazoa	118	19
P01721	Homo sapiens (Human)	Metazoa	117	19
P01730	Homo sapiens (Human)	Metazoa	458	25
P01742	Homo sapiens (Human)	Metazoa	117	19
P01764	Homo sapiens (Human)	Metazoa	117	19
P01768	Homo sapiens (Human)	Metazoa	117	19
P01772	Homo sapiens (Human)	Metazoa	117	19
P01814	Homo sapiens (Human)	Metazoa	119	19
P01830	Rattus norvegicus (Rat)	Metazoa	161	19
P01831	Mus musculus (Mouse)	Metazoa	162	19
P01833	Homo sapiens (Human)	Metazoa	764	18
P01887	Mus musculus (Mouse)	Metazoa	119	20
P01888	Bos taurus (Bovine)	Metazoa	118	20
P01889	Homo sapiens (Human)	Metazoa	362	24
P01899	Mus musculus (Mouse)	Metazoa	362	24
P01901	Mus musculus (Mouse)	Metazoa	369	21
P01902	Mus musculus (Mouse)	Metazoa	368	21
P01903	Homo sapiens (Human)	Metazoa	254	25
P01909	Homo sapiens (Human)	Metazoa	254	23
P01911	Homo sapiens (Human)	Metazoa	266	29
P01920	Homo sapiens (Human)	Metazoa	261	32
P02462	Homo sapiens (Human)	Metazoa	1669	27
P02466	Rattus norvegicus (Rat)	Metazoa	1372	22
P02647	Homo sapiens (Human)	Metazoa	267	18
P02648	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	266	18
P02649	Homo sapiens (Human)	Metazoa	317	18
P02652	Homo sapiens (Human)	Metazoa	100	18
P02654	Homo sapiens (Human)	Metazoa	83	26
P02655	Homo sapiens (Human)	Metazoa	101	22
P02656	Homo sapiens (Human)	Metazoa	99	20
P02662	Bos taurus (Bovine)	Metazoa	214	15
P02663	Bos taurus (Bovine)	Metazoa	222	15
P02666	Bos taurus (Bovine)	Metazoa	224	15
P02668	Bos taurus (Bovine)	Metazoa	190	21
P02669	Ovis aries (Sheep)	Metazoa	192	21
P02670	Capra hircus (Goat)	Metazoa	192	21
P02671	Homo sapiens (Human)	Metazoa	866	19
P02672	Bos taurus (Bovine)	Metazoa	615	19
P02675	Homo sapiens (Human)	Metazoa	491	30
P02679	Homo sapiens (Human)	Metazoa	453	26
P02701	Gallus gallus (Chicken)	Metazoa	152	24
P02702	Bos taurus (Bovine)	Metazoa	241	19
P02708	Homo sapiens (Human)	Metazoa	457	20
P02712	Tetronarce californica (Pacific electric ray) (Torpedo californica)	Metazoa	493	24
P02724	Homo sapiens (Human)	Metazoa	150	19
P02741	Homo sapiens (Human)	Metazoa	224	18
P02743	Homo sapiens (Human)	Metazoa	223	19
P02745	Homo sapiens (Human)	Metazoa	245	22
P02746	Homo sapiens (Human)	Metazoa	253	27
P02747	Homo sapiens (Human)	Metazoa	245	28
P02748	Homo sapiens (Human)	Metazoa	559	21
P02749	Homo sapiens (Human)	Metazoa	345	19
P02750	Homo sapiens (Human)	Metazoa	347	35
P02751	Homo sapiens (Human)	Metazoa	2477	31
P02752	Gallus gallus (Chicken)	Metazoa	238	17
P02753	Homo sapiens (Human)	Metazoa	201	18
P02754	Bos taurus (Bovine)	Metazoa	178	16
P02760	Homo sapiens (Human)	Metazoa	352	19
P02761	Rattus norvegicus (Rat)	Metazoa	181	19
P02763	Homo sapiens (Human)	Metazoa	201	18
P02765	Homo sapiens (Human)	Metazoa	367	18
P02766	Homo sapiens (Human)	Metazoa	147	20
P02767	Rattus norvegicus (Rat)	Metazoa	147	20
P02769	Bos taurus (Bovine)	Metazoa	607	18
P02770	Rattus norvegicus (Rat)	Metazoa	608	18
P02771	Homo sapiens (Human)	Metazoa	609	18
P02774	Homo sapiens (Human)	Metazoa	474	16
P02775	Homo sapiens (Human)	Metazoa	128	34
P02776	Homo sapiens (Human)	Metazoa	101	31
P02778	Homo sapiens (Human)	Metazoa	98	21
P02784	Bos taurus (Bovine)	Metazoa	134	25
P02787	Homo sapiens (Human)	Metazoa	698	19
P02788	Homo sapiens (Human)	Metazoa	710	19
P02789	Gallus gallus (Chicken)	Metazoa	705	19
P02790	Homo sapiens (Human)	Metazoa	462	23
P02808	Homo sapiens (Human)	Metazoa	62	19
P02810	Homo sapiens (Human)	Metazoa	166	16
P02814	Homo sapiens (Human)	Metazoa	79	22
P02817	Bos taurus (Bovine)	Metazoa	213	16
P02866	Canavalia ensiformis (Jack bean) (Dolichos ensiformis)	Plants	290	29
P02870	Lens culinaris (Lentil) (Cicer lens)	Plants	275	30
P02879	Ricinus communis (Castor bean)	Plants	576	35
P03950	Homo sapiens (Human)	Metazoa	147	24
P03954	Macaca fuscata fuscata (Japanese macaque)	Metazoa	388	15
P03971	Homo sapiens (Human)	Metazoa	560	24
P03973	Homo sapiens (Human)	Metazoa	132	25
P04002	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	Metazoa	82	23
P04003	Homo sapiens (Human)	Metazoa	597	48
P04004	Homo sapiens (Human)	Metazoa	478	19
P04054	Homo sapiens (Human)	Metazoa	148	15
P04058	Tetronarce californica (Pacific electric ray) (Torpedo californica)	Metazoa	586	21
P04062	Homo sapiens (Human)	Metazoa	536	39
P04090	Homo sapiens (Human)	Metazoa	185	24
P04155	Homo sapiens (Human)	Metazoa	84	24
P04180	Homo sapiens (Human)	Metazoa	440	24
P04196	Homo sapiens (Human)	Metazoa	525	18
P04217	Homo sapiens (Human)	Metazoa	495	21
P04275	Homo sapiens (Human)	Metazoa	2813	22
P04276	Rattus norvegicus (Rat)	Metazoa	476	16
P04278	Homo sapiens (Human)	Metazoa	402	29
P04280	Homo sapiens (Human)	Metazoa	392	16
P04405	Glycine max (Soybean) (Glycine hispida)	Plants	485	18
P04421	Bos taurus (Bovine)	Metazoa	147	18
P04439	Homo sapiens (Human)	Metazoa	365	24
P04634	Rattus norvegicus (Rat)	Metazoa	395	18
P04639	Rattus norvegicus (Rat)	Metazoa	259	18
P04653	Ovis aries (Sheep)	Metazoa	214	15
P04785	Rattus norvegicus (Rat)	Metazoa	509	19
P04844	Homo sapiens (Human)	Metazoa	631	22
P04916	Rattus norvegicus (Rat)	Metazoa	201	18
P04925	Mus musculus (Mouse)	Metazoa	254	22
P04937	Rattus norvegicus (Rat)	Metazoa	2477	24
P05000	Homo sapiens (Human)	Metazoa	195	21
P05014	Homo sapiens (Human)	Metazoa	189	23
P05059	Bos taurus (Bovine)	Metazoa	449	18
P05060	Homo sapiens (Human)	Metazoa	677	20
P05067	Homo sapiens (Human)	Metazoa	770	17
P05090	Homo sapiens (Human)	Metazoa	189	20
P05113	Homo sapiens (Human)	Metazoa	134	19
P05117	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	457	24
P05154	Homo sapiens (Human)	Metazoa	406	19
P05155	Homo sapiens (Human)	Metazoa	500	22
P05160	Homo sapiens (Human)	Metazoa	661	20
P05164	Homo sapiens (Human)	Metazoa	745	48
P05186	Homo sapiens (Human)	Metazoa	524	17
P05187	Homo sapiens (Human)	Metazoa	535	22
P05231	Homo sapiens (Human)	Metazoa	212	29
P05305	Homo sapiens (Human)	Metazoa	212	17
P05307	Bos taurus (Bovine)	Metazoa	510	20
P05371	Rattus norvegicus (Rat)	Metazoa	447	21
P05408	Homo sapiens (Human)	Metazoa	212	26
P05451	Homo sapiens (Human)	Metazoa	166	22
P05452	Homo sapiens (Human)	Metazoa	202	21
P05533	Mus musculus (Mouse)	Metazoa	134	26
P05543	Homo sapiens (Human)	Metazoa	415	20
P05545	Rattus norvegicus (Rat)	Metazoa	416	20
P05546	Homo sapiens (Human)	Metazoa	499	19
P05555	Mus musculus (Mouse)	Metazoa	1153	16
P05623	Drosophila melanogaster (Fruit fly)	Metazoa	55	19
P05814	Homo sapiens (Human)	Metazoa	226	15
P06028	Homo sapiens (Human)	Metazoa	91	19
P06213	Homo sapiens (Human)	Metazoa	1382	27
P06276	Homo sapiens (Human)	Metazoa	602	28
P06281	Mus musculus (Mouse)	Metazoa	402	21
P06312	Homo sapiens (Human)	Metazoa	121	20
P06332	Mus musculus (Mouse)	Metazoa	457	26
P06399	Rattus norvegicus (Rat)	Metazoa	782	19
P06681	Homo sapiens (Human)	Metazoa	752	20
P06727	Homo sapiens (Human)	Metazoa	396	20
P06756	Homo sapiens (Human)	Metazoa	1048	30
P06797	Mus musculus (Mouse)	Metazoa	334	17
P06857	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	467	17
P06858	Homo sapiens (Human)	Metazoa	475	27
P06859	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	138	16
P06865	Homo sapiens (Human)	Metazoa	529	22
P06867	Sus scrofa (Pig)	Metazoa	809	19
P06868	Bos taurus (Bovine)	Metazoa	805	19
P07093	Homo sapiens (Human)	Metazoa	398	19
P07098	Homo sapiens (Human)	Metazoa	398	19
P07141	Mus musculus (Mouse)	Metazoa	552	32
P07151	Rattus norvegicus (Rat)	Metazoa	119	20
P07154	Rattus norvegicus (Rat)	Metazoa	334	17
P07204	Homo sapiens (Human)	Metazoa	575	18
P07214	Mus musculus (Mouse)	Metazoa	302	17
