accession	organism	kingdom	length	tm_in_first_90
A0A8I3S724	Canis lupus	Metazoa	405	False
A0A8I5ZN27	Rattus	Metazoa	1307	False
A0A8P0N4K0	Canis lupus	Metazoa	1614	False
A0FGR8	Homo	Metazoa	921	False
A0FGR9	Homo	Metazoa	886	True
A0FKN5	Gallus	Metazoa	742	True
A0JNK3	Bos	Metazoa	458	False
A0JNW5	Homo	Metazoa	1464	False
A0M8R5	Papio	Metazoa	162	False
A0M8S6	Felis	Metazoa	162	False
A0PK05	Homo	Metazoa	275	True
A1A4I9	Bos	Metazoa	792	False
A1A4Y4	Homo	Metazoa	181	False
A1A5B4	Homo	Metazoa	782	False
A1A5H8	Danio	Metazoa	546	False
A1A6H3	Arabidopsis	Plants	379	False
A1A6M1	Arabidopsis	Plants	387	False
A1CWT6	Aspergillus fischeri	Fungi	488	False
A1L3P4	Mus	Metazoa	702	True
A1L4X0	Arabidopsis	Plants	431	False
A1X148	Echinops	Metazoa	162	False
A1XBS5	Homo	Metazoa	289	False
A1YES6	Gorilla gorilla	Metazoa	318	False
A1YFZ3	Pan	Metazoa	318	False
A1Z6S7	melanogaster subgroup	Metazoa	635	False
A1Z6W3	melanogaster subgroup	Metazoa	1299	False
A1Z7A6	melanogaster subgroup	Metazoa	1155	False
A1Z8D0	melanogaster subgroup	Metazoa	459	False
A1Z8N1	melanogaster subgroup	Metazoa	857	False
A1Z9J4	melanogaster subgroup	Metazoa	217	False
A1Z9P3	melanogaster subgroup	Metazoa	1576	False
A1Z9X0	melanogaster subgroup	Metazoa	606	False
A2A259	Mus	Metazoa	760	False
A2A9C3	Mus	Metazoa	3431	False
A2AAJ9	Mus	Metazoa	8886	False
A2AH22	Mus	Metazoa	1300	False
A2AKK5	Mus	Metazoa	416	False
A2AKX3	Mus	Metazoa	2646	False
A2ALU4	Mus	Metazoa	1481	False
A2AMM0	Mus	Metazoa	362	False
A2AMT1	Mus	Metazoa	669	False
A2ANU3	Mus	Metazoa	258	False
A2AP18	Mus	Metazoa	1501	False
A2APX8	Mus	Metazoa	2009	False
A2ARP9	Mus	Metazoa	588	False
A2ASI5	Mus	Metazoa	1947	False
A2ASQ1	Mus	Metazoa	1950	True
A2IDD5	Homo	Metazoa	438	False
A2RTF1	Mus	Metazoa	1109	False
A2RVJ8	Arabidopsis	Plants	434	False
A2SWM2	Danio	Metazoa	504	True
A2T1U1	Brassica oleracea	Plants	305	False
A2T6Y4	Pan	Metazoa	318	False
A2T7I6	Pongo	Metazoa	318	False
A2VCW5	Rattus	Metazoa	479	True
A2VEY9	melanogaster subgroup	Metazoa	693	True
A2XKG2	Oryza sativa	Plants	472	False
A3BF39	Oryza sativa	Plants	1067	False
A3KMH1	Homo	Metazoa	1905	False
A3KPQ7	Danio	Metazoa	1378	True
A3KQ86	Danio	Metazoa	173	True
A4D126	Homo	Metazoa	451	False
A4D1E9	Homo	Metazoa	387	False
A4D2B0	Homo	Metazoa	266	False
A4FVP2	Arabidopsis	Plants	565	False
A4IFH6	Bos	Metazoa	52	True
A4L691	Rattus	Metazoa	331	False
A4UVI1	Papio	Metazoa	444	False
A5PKW4	Homo	Metazoa	1024	False
A6H8H2	Mus	Metazoa	1906	False
A6HD62	Rattus	Metazoa	304	False
A6ND36	Homo	Metazoa	823	False
A6NDV4	Homo	Metazoa	472	False
A6NFQ2	Homo	Metazoa	919	False
A6NFX1	Homo	Metazoa	504	False
A6NHQ2	Homo	Metazoa	334	False
A6NHX0	Homo	Metazoa	329	False
A6NJ78	Homo	Metazoa	407	False
A6NK58	Homo	Metazoa	231	False
A6NK89	Homo	Metazoa	507	False
A6NNB3	Homo	Metazoa	132	True
A6YSL1	Zea	Plants	525	False
A7KAU2	Oryctolagus	Metazoa	568	True
A7L9Z8	Mus	Metazoa	944	False
A8DYY6	melanogaster subgroup	Metazoa	616	False
A8J637	Chlamydomonas	Plants	1013	False
A8MQL1	Arabidopsis	Plants	1082	False
A8MS68	Arabidopsis	Plants	623	False
A8MUP2	Homo	Metazoa	240	False
A8MYU2	Homo	Metazoa	1149	True
A9C3R8	Danio	Metazoa	532	False
A9C3R9	Danio	Metazoa	532	False
A9JTM7	Silurana	Metazoa	681	False
A9LLI7	Arabidopsis	Plants	870	False
A9YWR6	Medicago	Plants	727	False
B0F481	Arabidopsis	Plants	833	False
B0F9W3	Micropogonias	Metazoa	354	True
B0G0Y8	Dictyostelium	Other	466	False
B0I1T2	Homo	Metazoa	1018	False
B0L3A2	Homo	Metazoa	85	True
B0XMC1	Aspergillus fumigatus	Fungi	433	False
B1AL88	Homo	Metazoa	458	True
B1AWN6	Mus	Metazoa	2006	False
B1AYL1	Mus	Metazoa	1681	False
B2GV06	Rattus	Metazoa	520	False
B2RPY5	Mus	Metazoa	545	True
B2RS91	Mus	Metazoa	656	False
B2RUZ4	Homo	Metazoa	78	True
B2RX12	Mus	Metazoa	1523	True
B2RXV4	Mus	Metazoa	560	False
B2ZZS9	Oryzias	Metazoa	400	False
B3G515	Danio	Metazoa	353	True
B3LF48	Arabidopsis	Plants	546	False
B5DFG1	Rattus	Metazoa	580	False
B5DFN2	Rattus	Metazoa	483	False
B5TYT3	Arabidopsis	Plants	771	True
B5X0E4	Mus	Metazoa	1255	True
B5X582	Arabidopsis	Plants	709	False
B6HLU1	Penicillium rubens	Fungi	3746	False
B6RAL1	Penicillium	Fungi	1394	False
B6ZKM3	Carapichea	Plants	543	False
B7U540	Homo	Metazoa	433	True
B8XCH5	Arabidopsis	Plants	1081	False
B8ZXI1	Mus	Metazoa	415	False
B9DFA8	Arabidopsis	Plants	664	False
B9DFG3	Arabidopsis	Plants	1171	False
B9DFG5	Arabidopsis	Plants	408	False
B9DFX7	Arabidopsis	Plants	883	False
B9DFZ0	Arabidopsis	Plants	386	False
B9DGD6	Arabidopsis	Plants	743	False
B9DGU7	Arabidopsis	Plants	267	False
B9DGY1	Arabidopsis	Plants	695	False
B9F1C0	Oryza sativa	Plants	1709	False
B9FDE0	Oryza sativa	Plants	494	False
B9TSP7	Arabidopsis	Plants	548	False
B9VRJ2	Papaver	Plants	321	False
C0H4V6	Plasmodium falciparum	Other	262	False
C1PGW1	Zinnia	Plants	300	False
C4LVG4	Entamoeba histolytica	Other	138	False
C4M4P4	Entamoeba histolytica	Other	148	False
C4R2L0	Komagataella phaffii	Fungi	576	False
C4R3D4	Komagataella phaffii	Fungi	461	True
C5H429	Artemisia	Plants	388	False
C6SZ50	Glycine subgen. Soja	Plants	211	False
C6TA59	Glycine subgen. Soja	Plants	214	False
C7A2A0	Antirrhinum	Plants	534	False
C7AJA4	Trypanosoma brucei	Other	406	False
C7AU21	Oryza sativa	Plants	278	False
C7B178	Petunia	Plants	535	False
C8VSZ2	Emericella nidulans	Fungi	370	False
C9JRZ8	Homo	Metazoa	316	False
D0E0C2	Periplaneta	Metazoa	1553	False
D0Q0Y7	Rattus	Metazoa	160	True
D0VWV4	Sus	Metazoa	169	True
D2CSU4	Petunia	Plants	324	False
D2EAC2	Mus	Metazoa	980	False
D2WL32	Arabidopsis	Plants	899	False
D3GE74	Medicago	Plants	817	False
D3J162	Medicago	Plants	541	False
D3K0R6	Bos	Metazoa	1207	False
D3KY98	Carapichea	Plants	350	False
D3KY99	Carapichea	Plants	350	False
D3KYA0	Carapichea	Plants	358	False
D3KZG3	Caenorhabditis	Metazoa	1285	False
D3W0D1	Homo	Metazoa	207	True
D3YUJ3	Mus	Metazoa	367	False
D3YXJ0	Mus	Metazoa	1211	False
D3Z291	Mus	Metazoa	348	True
D3Z649	Mus	Metazoa	1135	True
D3Z7H4	Mus	Metazoa	322	True
D3Z7P3	Mus	Metazoa	674	False
D3ZAW2	Rattus	Metazoa	406	True
D3ZDM7	Rattus	Metazoa	341	False
D3ZER2	Rattus	Metazoa	416	False
D3ZFB6	Rattus	Metazoa	344	False
D3ZI76	Rattus	Metazoa	801	False
D3ZJP6	Rattus	Metazoa	2060	False
D3ZUA0	Rattus	Metazoa	338	False
D3ZUE1	Rattus	Metazoa	857	False
D3ZUI5	Rattus	Metazoa	1133	False
D3ZUQ0	Rattus	Metazoa	406	False
D3ZVU9	Rattus	Metazoa	299	False
D4A1X2	Rattus	Metazoa	885	False
D4A208	Rattus	Metazoa	1071	False
D4A4P4	Rattus	Metazoa	490	False
D4A734	Rattus	Metazoa	486	True
D6MZJ6	Mus	Metazoa	483	True
D6VTK4	Saccharomyces cerevisiae	Fungi	431	True
D7PC76	Tursiops	Metazoa	741	True
D9PTN5	Caenorhabditis	Metazoa	1009	False
E0CX11	Homo	Metazoa	47	True
E0CZ42	Mus	Metazoa	1862	False
E1AZ71	Mus	Metazoa	1325	False
E1BF86	Bos	Metazoa	512	True
E1JIT7	melanogaster subgroup	Metazoa	1601	False
E2JF22	Mus	Metazoa	2547	True
E2QYC9	Canis lupus	Metazoa	1828	False
E2RDM9	Canis lupus	Metazoa	172	True
E3Q1H1	Trypanosoma brucei	Other	147	False
E4NKF8	Medicago	Plants	694	False
E7F568	Danio	Metazoa	1343	False
E7FFT2	Danio	Metazoa	916	False
E7FKV8	Oryzias	Metazoa	2742	False
E9AE57	Leishmania major species complex	Other	568	False
E9DVV4	Metarhizium acridum	Fungi	484	False
E9P8D2	Saccharomyces	Fungi	229	False
E9PTA2	Rattus	Metazoa	1507	False
E9PUL5	Mus	Metazoa	346	False
E9PVX6	Mus	Metazoa	3177	False
E9Q236	Mus	Metazoa	1325	True
E9Q4Z2	Mus	Metazoa	2448	False
E9Q557	Mus	Metazoa	2883	False
E9Q7G0	Mus	Metazoa	2094	False
E9QDC5	Danio	Metazoa	294	True
E9RBG1	Aspergillus fumigatus	Fungi	1497	False
F1LM93	Rattus	Metazoa	541	False
F1LQ70	Rattus	Metazoa	663	False
F1LYQ8	Rattus	Metazoa	1049	False
F1M386	Rattus	Metazoa	1496	False
F1M3J4	Rattus	Metazoa	1325	True
F1MAB7	Rattus	Metazoa	1050	False
F1MH24	Bos	Metazoa	957	False
F1PTE3	Canis lupus	Metazoa	203	False
F1QC45	Danio	Metazoa	376	False
F1QG30	Danio	Metazoa	545	True
F1QGH7	Danio	Metazoa	780	False
F1RAX4	Danio	Metazoa	670	True
F1REV3	Danio	Metazoa	740	False
F2Z461	Mus	Metazoa	1003	False
F3YDF1	melanogaster subgroup	Metazoa	740	False
F4HVG8	Arabidopsis	Plants	611	False
F4HXL0	Arabidopsis	Plants	713	False
F4HYF3	Arabidopsis	Plants	401	False
F4HZG9	Arabidopsis	Plants	493	False
F4I0K2	Arabidopsis	Plants	614	False
F4I3P9	Arabidopsis	Plants	772	False
F4I6M1	Arabidopsis	Plants	1050	False
F4I718	Arabidopsis	Plants	2136	False
F4I7I0	Arabidopsis	Plants	543	False
F4I9G2	Arabidopsis	Plants	426	False
F4I9J7	Arabidopsis	Plants	202	False
F4IAG2	Arabidopsis	Plants	1042	False
F4IAX1	Arabidopsis	Plants	681	False
F4ICF4	Arabidopsis	Plants	343	False
F4IDC2	Arabidopsis	Plants	1043	False
F4IE66	Arabidopsis	Plants	717	False
F4IH25	Arabidopsis	Plants	753	False
F4IHY7	Arabidopsis	Plants	527	False
F4IIM1	Arabidopsis	Plants	2150	False
F4IME2	Arabidopsis	Plants	908	False
F4IMH3	Arabidopsis	Plants	577	False
F4INA9	Arabidopsis	Plants	973	False
F4IPY2	Arabidopsis	Plants	563	False
F4IQV7	Arabidopsis	Plants	575	False
F4IS56	Arabidopsis	Plants	479	False
F4ISL7	Arabidopsis	Plants	2166	False
F4ITM1	Arabidopsis	Plants	398	False
F4IUX6	Arabidopsis	Plants	1181	False
F4IV16	Arabidopsis	Plants	267	False
F4IV66	Arabidopsis	Plants	1001	False
F4IW47	Arabidopsis	Plants	741	False
F4IY62	Arabidopsis	Plants	883	False
F4J0D2	Arabidopsis	Plants	476	False
F4J117	Arabidopsis	Plants	591	False
F4J264	Arabidopsis	Plants	406	False
F4J2K2	Arabidopsis	Plants	625	False
F4J3R7	Arabidopsis	Plants	684	False
F4JHA2	Arabidopsis	Plants	884	False
F4JHH5	Arabidopsis	Plants	787	False
F4JI44	Arabidopsis	Plants	913	False
F4JLC1	Arabidopsis	Plants	331	False
F4JLE5	Arabidopsis	Plants	554	False
F4JN35	Arabidopsis	Plants	512	False
F4JQH3	Arabidopsis	Plants	645	False
F4JRB0	Arabidopsis	Plants	363	False
F4JSE7	Arabidopsis	Plants	718	False
F4JT76	Arabidopsis	Plants	1034	False
F4JTE7	Arabidopsis	Plants	298	False
F4JTN2	Arabidopsis	Plants	485	True
F4JTP5	Arabidopsis	Plants	575	False
F4JVH1	Arabidopsis	Plants	907	False
F4JVI3	Arabidopsis	Plants	493	False
F4JXF1	Arabidopsis	Plants	581	False
F4JYC8	Arabidopsis	Plants	1706	False
F4JYE9	Arabidopsis	Plants	530	False
F4JZC2	Arabidopsis	Plants	680	False
F4JZG9	Arabidopsis	Plants	384	False
F4JZW1	Arabidopsis	Plants	494	False
F4JZY1	Arabidopsis	Plants	1586	False
F4K2A1	Arabidopsis	Plants	571	False
F4K410	Arabidopsis	Plants	675	False
F4KCE9	Arabidopsis	Plants	598	False
F4KF14	Arabidopsis	Plants	855	False
F4KFT7	Arabidopsis	Plants	617	False
F4KGQ0	Arabidopsis	Plants	393	False
F5H094	Homo	Metazoa	687	True
F6S3G9	Equus	Metazoa	272	True
F7BWT7	Mus	Metazoa	294	True
F8VPU2	Mus	Metazoa	1048	False
F8VQB6	Mus	Metazoa	2062	False
G1UH28	Punica	Plants	299	False
G2X7W6	Verticillium dahliae	Fungi	1376	False
G3LSH3	Lotus	Plants	483	False
G3M4F8	Chilo	Metazoa	395	True
G3V8V5	Rattus	Metazoa	397	True
G3XA57	Mus	Metazoa	512	False
G3Y4N5	Aspergillus niger	Fungi	524	True
G4NCH6	Pyricularia oryzae	Fungi	366	False
G4NCT7	Pyricularia oryzae	Fungi	361	False
G4NE57	Pyricularia oryzae	Fungi	441	False
G5DBJ0	Nicotiana	Plants	252	False
G5E829	Mus	Metazoa	1220	False
G5E8K5	Mus	Metazoa	1961	False
G5EB74	Emericella nidulans	Fungi	1852	False
G5EBH1	Caenorhabditis	Metazoa	1074	False
G5EBK1	Caenorhabditis	Metazoa	783	True
G5EBN9	Caenorhabditis	Metazoa	600	True
G5EBX6	Caenorhabditis	Metazoa	876	False
G5EBX9	Caenorhabditis	Metazoa	707	False
G5EC32	Caenorhabditis	Metazoa	1005	False
G5ECD6	Caenorhabditis	Metazoa	1322	True
G5ECD9	Caenorhabditis	Metazoa	321	True
G5ECY0	Caenorhabditis	Metazoa	967	False
G5ED68	Caenorhabditis	Metazoa	676	False
G5EDM4	Caenorhabditis	Metazoa	467	False
G5EDP2	Caenorhabditis	Metazoa	412	False
G5EDW5	Caenorhabditis	Metazoa	952	False
G5EE01	Caenorhabditis	Metazoa	962	False
G5EE56	Caenorhabditis	Metazoa	533	False
G5EE72	Caenorhabditis	Metazoa	1427	False
G5EEK3	Caenorhabditis	Metazoa	922	False
G5EEK9	Caenorhabditis	Metazoa	873	False
G5EET6	Caenorhabditis	Metazoa	818	False
G5EF48	Caenorhabditis	Metazoa	350	True
G5EFI7	Caenorhabditis	Metazoa	931	False
G5EGK5	Caenorhabditis	Metazoa	928	False
G5EGP4	Caenorhabditis	Metazoa	865	False
G5EGQ6	Caenorhabditis	Metazoa	2684	False
G5EGU9	Caenorhabditis	Metazoa	558	False
G7KDA1	Medicago	Plants	557	True
H1AFJ5	Neoceratodus	Metazoa	655	True
H2KYS8	Caenorhabditis	Metazoa	1107	True
H2L006	Caenorhabditis	Metazoa	451	True
H2L099	Caenorhabditis	Metazoa	653	False
H2L0G5	Caenorhabditis	Metazoa	1367	False
H2L0N8	Caenorhabditis	Metazoa	370	False
H2LNR5	Oryzias	Metazoa	746	False
H2LRU7	Oryzias	Metazoa	901	False
H6CAN5	Exophiala dermatitidis	Fungi	1885	False
H9A1V3	Cannabis	Plants	720	False
H9BZ66	Petunia	Plants	633	False
I3PB36	Petunia	Plants	570	False
I3PB37	Petunia	Plants	544	False
I3SL57	Lotus	Plants	282	False
I4DST8	Tulipa	Plants	385	False
I6VSD2	Capra	Metazoa	224	True
J3QMI4	Mus	Metazoa	347	True
J3QMK6	Mus	Metazoa	479	False
J9VE33	Cryptococcus neoformans	Fungi	1094	False
J9VF33	Cryptococcus neoformans	Fungi	1408	False
J9VLJ9	Cryptococcus neoformans	Fungi	154	False
J9VTB0	Cryptococcus neoformans	Fungi	2106	False
J9VWW9	Cryptococcus neoformans	Fungi	225	False
K4C9E2	Solanum subgen. Lycopersicon	Plants	498	False
K7QHS5	Humulus	Plants	408	False
K7QKH1	Humulus	Plants	393	False
K7WDL7	Catharanthus	Plants	388	False
K7WIZ6	Zea	Plants	623	False
K7WQ45	Solanum subgen. Lycopersicon	Plants	314	False
L0R8F8	Homo	Metazoa	70	False
L7N1X6	Mus	Metazoa	466	False
M0R7Z9	Rattus	Metazoa	475	False
M4IQQ5	Humulus	Plants	556	False
M4IRL4	Humulus	Plants	573	False
M9MSG8	melanogaster subgroup	Metazoa	2551	True
M9PFN0	melanogaster subgroup	Metazoa	352	False
O00141	Homo	Metazoa	431	False
O00142	Homo	Metazoa	265	False
O00154	Homo	Metazoa	380	False
O00155	Homo	Metazoa	361	True
O00159	Homo	Metazoa	1063	False
O00160	Homo	Metazoa	1098	False
O00161	Homo	Metazoa	211	False
O00165	Homo	Metazoa	279	False
O00180	Homo	Metazoa	336	True
O00186	Homo	Metazoa	592	False
O00198	Homo	Metazoa	91	True
O00204	Homo	Metazoa	365	False
O00213	Homo	Metazoa	710	False
O00214	Homo	Metazoa	317	False
O00219	Homo	Metazoa	553	True
O00270	Homo	Metazoa	319	True
O00294	Homo	Metazoa	542	False
O00299	Homo	Metazoa	241	True
O00330	Homo	Metazoa	501	False
O00337	Homo	Metazoa	649	True
O00408	Homo	Metazoa	941	False
O00410	Homo	Metazoa	1097	False
O00411	Homo	Metazoa	1230	False
O00421	Homo	Metazoa	344	True
O00429	Homo	Metazoa	736	False
O00443	Homo	Metazoa	1686	False
O00463	Homo	Metazoa	557	False
O00476	Homo	Metazoa	420	False
O00483	Homo	Metazoa	81	True
O00488	Homo	Metazoa	134	False
O00522	Homo	Metazoa	736	False
O00541	Homo	Metazoa	588	False
O00555	Homo	Metazoa	2506	False
O00560	Homo	Metazoa	298	False
O00562	Homo	Metazoa	1244	False
O00566	Homo	Metazoa	681	False
O00567	Homo	Metazoa	594	False
O00571	Homo	Metazoa	662	False
O00574	Homo	Metazoa	342	True
O00590	Homo	Metazoa	384	True
O00623	Homo	Metazoa	359	True
O00628	Homo	Metazoa	323	False
O00743	Homo	Metazoa	305	False
O00746	Homo	Metazoa	187	False
O00750	Homo	Metazoa	1634	False
O00763	Homo	Metazoa	2458	False
O00764	Homo	Metazoa	312	False
O01798	Caenorhabditis	Metazoa	512	False
O01803	Caenorhabditis	Metazoa	211	False
O01811	Caenorhabditis	Metazoa	377	True
O02213	Caenorhabditis	Metazoa	455	True
O02495	Caenorhabditis	Metazoa	109	True
O02662	Canis lupus	Metazoa	405	True
O02696	Sus	Metazoa	877	False
O03042	Arabidopsis	Plants	479	False
O04121	Spinacia	Plants	439	False
O04130	Arabidopsis	Plants	624	False
O04196	Arabidopsis	Plants	783	False
O04200	Arabidopsis	Plants	331	True
O04209	Arabidopsis	Plants	258	False
O04308	Arabidopsis	Plants	499	False
O04331	Arabidopsis	Plants	277	True
O04616	Arabidopsis	Plants	164	False
O04714	Arabidopsis	Plants	326	True
O04862	Lathyrus	Plants	515	False
O04921	Arabidopsis	Plants	512	False
O04951	Arabidopsis	Plants	307	False
O04983	Arabidopsis	Plants	537	False
O05000	Arabidopsis	Plants	499	True
O08556	Rattus	Metazoa	354	True
O08564	Rattus	Metazoa	282	True
O08581	Mus	Metazoa	336	True
O08590	Rattus	Metazoa	763	True
O08650	Mus	Metazoa	554	True
O08679	Rattus	Metazoa	722	False
O08691	Mus	Metazoa	354	False
O08697	Rattus	Metazoa	184	False
O08715	Mus	Metazoa	857	False
O08726	Rattus	Metazoa	372	True
O08773	Rattus	Metazoa	544	False
O08786	Mus	Metazoa	436	True
O08790	Mus	Metazoa	351	True
O08808	Mus	Metazoa	1255	False
O08839	Rattus	Metazoa	588	False
O08858	Mus	Metazoa	362	True
O08878	Rattus	Metazoa	375	True
O08892	Cavia	Metazoa	389	True
O08966	Mus	Metazoa	556	True
O08967	Mus	Metazoa	399	False
O08997	Mus	Metazoa	68	False
O09111	Mus	Metazoa	151	True
O09171	Rattus	Metazoa	407	False
O09174	Mus	Metazoa	381	False
O09198	Mus	Metazoa	153	True
O13281	Nidulantes	Fungi	1852	False
O13329	Saccharomyces cerevisiae	Fungi	566	False
O13516	Saccharomyces cerevisiae	Fungi	197	False
O13525	Saccharomyces cerevisiae	Fungi	335	False
O13648	Schizosaccharomyces pombe	Fungi	510	False
O13683	Schizosaccharomyces pombe	Fungi	1237	False
O13684	Schizosaccharomyces pombe	Fungi	261	False
O13853	Schizosaccharomyces pombe	Fungi	742	False
O13899	Schizosaccharomyces pombe	Fungi	595	False
O13928	Schizosaccharomyces pombe	Fungi	205	False
O14031	Schizosaccharomyces pombe	Fungi	851	False
O14092	Schizosaccharomyces pombe	Fungi	558	False
O14098	Schizosaccharomyces pombe	Fungi	593	False
O14275	Schizosaccharomyces pombe	Fungi	931	False
O14492	Homo	Metazoa	632	False
O14493	Homo	Metazoa	209	True
O14494	Homo	Metazoa	284	True
O14495	Homo	Metazoa	311	True
O14512	Homo	Metazoa	581	False
O14520	Homo	Metazoa	342	True
O14521	Homo	Metazoa	159	True
O14523	Homo	Metazoa	706	True
O14561	Homo	Metazoa	156	False
O14618	Homo	Metazoa	274	False
O14638	Homo	Metazoa	875	True
O14641	Homo	Metazoa	736	False
O14649	Homo	Metazoa	394	True
O14654	Homo	Metazoa	1257	False
O14730	Homo	Metazoa	519	False
O14734	Homo	Metazoa	319	False
O14737	Homo	Metazoa	125	False
O14746	Homo	Metazoa	1132	False
O14788	Homo	Metazoa	317	True
O14802	Homo	Metazoa	1390	False
O14804	Homo	Metazoa	337	True
O14817	Homo	Metazoa	238	True
O14827	Homo	Metazoa	1237	False
O14832	Homo	Metazoa	338	False
O14842	Homo	Metazoa	300	True
O14843	Homo	Metazoa	346	True
O14862	Homo	Metazoa	343	False
O14879	Homo	Metazoa	490	False
O14880	Homo	Metazoa	152	True
O14894	Homo	Metazoa	197	True
O14907	Homo	Metazoa	124	False
O14925	Homo	Metazoa	209	True
O14929	Homo	Metazoa	419	False
O14966	Homo	Metazoa	203	False
O14975	Homo	Metazoa	620	True
O14980	Homo	Metazoa	1071	False
O15027	Homo	Metazoa	2357	False
O15055	Homo	Metazoa	1255	False
O15056	Homo	Metazoa	1496	False
O15068	Homo	Metazoa	1137	False
O15084	Homo	Metazoa	1053	False
O15091	Homo	Metazoa	583	False
O15121	Homo	Metazoa	323	True
O15160	Homo	Metazoa	346	False
O15162	Homo	Metazoa	318	False
O15164	Homo	Metazoa	1050	False
O15213	Homo	Metazoa	610	False
O15218	Homo	Metazoa	404	True
O15226	Homo	Metazoa	690	False
O15228	Homo	Metazoa	680	False
O15229	Homo	Metazoa	486	False
O15244	Homo	Metazoa	555	True
O15245	Homo	Metazoa	554	True
O15265	Homo	Metazoa	892	False
O15294	Homo	Metazoa	1046	False
O15296	Homo	Metazoa	676	False
O15297	Homo	Metazoa	605	False
O15357	Homo	Metazoa	1258	False
O15379	Homo	Metazoa	428	False
O15381	Homo	Metazoa	856	False
O15393	Homo	Metazoa	492	True
O15427	Homo	Metazoa	465	True
O15431	Homo	Metazoa	190	True
O15438	Homo	Metazoa	1527	True
O15439	Homo	Metazoa	1325	True
O15440	Homo	Metazoa	1437	False
O15446	Homo	Metazoa	510	False
O15498	Homo	Metazoa	198	False
O15516	Homo	Metazoa	846	False
O15527	Homo	Metazoa	345	False
O15528	Homo	Metazoa	508	False
O15530	Homo	Metazoa	556	False
O15551	Homo	Metazoa	220	True
O15552	Homo	Metazoa	330	True
O15554	Homo	Metazoa	427	True
O15648	Trypanosoma brucei	Other	487	False
